2024年度秋セメスター　時間割 (2017カリキュラムAPS生対象科目),,,,,,,,,,,,,,
AY2024 Fall Semester Timetable (For 2017 APS Curriculum students),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
-The number for ""Semester"" indicates the semester in which that course can be taken. （Ex） if a ""3"" is written, students in their 3rd semester and above can take the course.
-Please refer to the course list for the requirements of each course (credit units, prerequisite courses, registration restrictions, credit requirement area, 「registration availability during course registration periods, etc). You can find the course list on the Academic Office website (Chapters 8-10 > Curriculum Diagrams & Course Lists)  ",,,,,,,,,,,,,,
"・単位集計分野に関する注意点/Credit Requirement Area – Note

APS専門科目はAPS専門教育科目 or 選択した学修分野に応じて以下のいずれかに集計されます。
/Credits earned for APS Major Education Subjects will count towards your credit requirements for either “APS Major Education Subjects” or one of the following depending on your registered Area of Study.
*1：学修分野 EDを選択した人は、ED専門教育科目として集計されます。/*1: “ED Major Education Subjects” if your registered Area of Study is ED.
*2：学修分野 HTを選択した人は、HT専門教育科目として集計されます。/*2: “HT Major Education Subjects” if your registered Area of Study is HT.
*3：学修分野 IRPを選択した人は、IRP専門教育科目として集計されます。/*3: “IRP Major Education Subjects” if your registered Area of Study is IRP.
*4：学修分野 CSMを選択した人は、CSM専門教育科目として集計されます。/*4: “CSM Major Education Subjects” if your registered Area of Study is CSM.
なお、選択した学修分野の専門教育科目修得単位数が必要単位数を超えた場合、超過分はAPS専門教育科目分野に集計されます。 /If you earn more than the required number of credits for your registered Area of Study’s Major Education Subjects, the excess credits will count towards “APS Major Education Subjects” instead.
",,,,,,,,,,,,,,
Ver.20241113,,,,,,,,,,,,,,
"期間/
Term","曜日/
Day of Week","時限/
Period",Online,"Zoom 
MTG ID ","教室/
Classroom","講義CD/
Subject CD",講義名,Subject Name,担当教員,Instructor,"言語/
Lang.",配当セメ/Semester,分野/Field,専門分野/Area of Major
,,,,,,,,,,,,,,
Semester,月/Mon.,1,,,F108,010081DA,日本語初級Ⅰ DA,Japanese Foundation Course I DA,星野 智子,HOSHINO Tomoko,,1,言語/Language,-
Semester,月/Mon.,1,,,F208,010081DB,日本語初級Ⅰ DB,Japanese Foundation Course I DB,栃原 玲子,TOCHIHARA Reiko,,1,言語/Language,-
Semester,月/Mon.,1,,,D201,010081DC,日本語初級Ⅰ DC,Japanese Foundation Course I DC,水戸 貴久,MITO Takahisa,,1,言語/Language,-
Semester,月/Mon.,1,,,D305,010081DD,日本語初級Ⅰ DD,Japanese Foundation Course I DD,寺井 敦子,TERAI Atsuko,,1,言語/Language,-
Semester,月/Mon.,1,,,D203,010081DE,日本語初級Ⅰ DE,Japanese Foundation Course I DE,米 冰寒,MI Binghan,,1,言語/Language,-
Semester,月/Mon.,1,,,F205,010081DF,日本語初級Ⅰ DF,Japanese Foundation Course I DF,高田 亮,TAKADA Ryo,,1,言語/Language,-
Semester,月/Mon.,1,,,F211,010081DG,日本語初級Ⅰ DG,Japanese Foundation Course I DG,高松 知恵美,TAKAMATSU Chiemi,,1,言語/Language,-
Semester,月/Mon.,1,,,FⅡ233,010220OI,韓国語Ⅰ OI,Korean I OI,朴 映勳,PARK YoungHoon,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,FⅡ231,010240OA,韓国語Ⅲ OA,Korean III OA,OH Young Min,OH Young Min,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,FⅡ329,010260OA,マレー語･インドネシア語Ⅰ OA,Malay/Indonesian I OA,ELVITA Wiasih,ELVITA Wiasih,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,FⅡ223,010290OC,スペイン語Ⅰ OC,Spanish I OC,GIMENEZ M. Carolina,GIMENEZ MILAN Carolina,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,FⅡ225,010300OC,スペイン語Ⅱ OC,Spanish II OC,VILA LOPEZ Eduardo,VILA LOPEZ Eduardo,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,D304,011103EI,英語準中級B EI,Pre-Intermediate English B EI,PRIEST David,PRIEST David,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D302,011103EJ,英語準中級B EJ,Pre-Intermediate English B EJ,眞邉 昌一,MANABE Shoichi,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D204,011103EK,英語準中級B EK,Pre-Intermediate English B EK,JONES Kent,JONES Kent,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D209,011103EL,英語準中級B EL,Pre-Intermediate English B EL,サンダーズ 美里,SAUNDERS Misato,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D301,011103EM,英語準中級B EM,Pre-Intermediate English B EM,HU Cindy Hsin Yu,HU Cindy Hsin Yu,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D108,011103EN,英語準中級B EN,Pre-Intermediate English B EN,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D303,011103EO,英語準中級B EO,Pre-Intermediate English B EO,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D103,011103EP,英語準中級B EP,Pre-Intermediate English B EP,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,月/Mon.,1,,,D202,011202EC,英語上級2A EC,Advanced English 2A EC,PADFIELD Sarah,PADFIELD Sarah Catherine,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,D212,011202ED,英語上級2A ED,Advanced English 2A ED,USREY Kaylin Rose,USREY Kaylin Rose,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,月/Mon.,1,,,F203,020031EC,経済学入門EC,Introduction to EconomicsEC,中神 正史,NAKAGAMI Masafumi,E,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,月/Mon.,1,,,FⅡ121,027009JB,ロジカルシンキングとフレームワークJB,Logical Thinking and FrameworkJB,伊藤 衡,Ito Ko,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,月/Mon.,1,,,F201,027019EB,心理学EB,PsychologyEB,MEIRMANOV Serik,MEIRMANOV Serik,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,月/Mon.,1,,,HPS,027029EK,茶道EK,Japanese Art of Tea CeremonyEK,宗泰 ポンパン,SOTAI Pongpan,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
