2025年度春セメスター　時間割 (2017カリキュラムAPS生対象科目)														
AY2025 Spring Semester Timetable (For 2017 APS Curriculum students)														
														
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
-The number for ""Semester"" indicates the semester in which that course can be taken. （Ex） if a ""3"" is written, students in their 3rd semester and above can take the course.
-Please refer to the course list for the requirements of each course (credit units, prerequisite courses, registration restrictions, credit requirement area, 「registration availability during course registration periods, etc). You can find the course list on the Academic Office website (Chapters 8-10 > Curriculum Diagrams & Course Lists)  "														
"・単位集計分野に関する注意点/Credit Requirement Area – Note

APS専門科目はAPS専門教育科目 or 選択した学修分野に応じて以下のいずれかに集計されます。
/Credits earned for APS Major Education Subjects will count towards your credit requirements for either “APS Major Education Subjects” or one of the following depending on your registered Area of Study.
*1：学修分野 EDを選択した人は、ED専門教育科目として集計されます。/*1: “ED Major Education Subjects” if your registered Area of Study is ED.
*2：学修分野 HTを選択した人は、HT専門教育科目として集計されます。/*2: “HT Major Education Subjects” if your registered Area of Study is HT.
*3：学修分野 IRPを選択した人は、IRP専門教育科目として集計されます。/*3: “IRP Major Education Subjects” if your registered Area of Study is IRP.
*4：学修分野 CSMを選択した人は、CSM専門教育科目として集計されます。/*4: “CSM Major Education Subjects” if your registered Area of Study is CSM.
なお、選択した学修分野の専門教育科目修得単位数が必要単位数を超えた場合、超過分はAPS専門教育科目分野に集計されます。 /If you earn more than the required number of credits for your registered Area of Study’s Major Education Subjects, the excess credits will count towards “APS Major Education Subjects” instead.
"														
Ver.20250331														
"期間/
Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
Lang."	配当セメ/Semester	分野/Field	専門分野/Area of Major
														
Semester	月/Mon.	1			F206	010081BA	日本語初級Ⅰ BA	Japanese Foundation Course I BA	高松 知恵美	TAKAMATSU Chiemi		1	言語/Language	-
Semester	月/Mon.	1			F213	010081BB	日本語初級Ⅰ BB	Japanese Foundation Course I BB	水戸 貴久	MITO Takahisa		1	言語/Language	-
Semester	月/Mon.	1			FⅡ230	010081BC	日本語初級Ⅰ BC	Japanese Foundation Course I BC	栃原 玲子	TOCHIHARA Reiko		1	言語/Language	-
Semester	月/Mon.	1			F208	010081BD	日本語初級Ⅰ BD	Japanese Foundation Course I BD	星野 智子	HOSHINO Tomoko		1	言語/Language	-
Semester	月/Mon.	1			F214	010081BE	日本語初級Ⅰ BE	Japanese Foundation Course I BE	板井 芳江	ITAI Yoshie		1	言語/Language	-
Semester	月/Mon.	1			F111	010081BF	日本語初級Ⅰ BF	Japanese Foundation Course I BF	布尾 勝一郎	NUNOO Katsuichiro		1	言語/Language	-
Semester	月/Mon.	1			J303	010220SH	韓国語Ⅰ SH	Korean I SH	朴 ウギョン	PARK Woo kyoung		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	1			FⅡ224	010290SC	スペイン語Ⅰ SC	Spanish I SC	VILA LOPEZ Eduardo	VILA LOPEZ Eduardo		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	1			D110	011101BI	英語初級B BI	Elementary English B BI	サンダーズ 美里	SAUNDERS Misato		1	言語/Language	英語English
Semester	月/Mon.	1			D203	011103BG	英語準中級B BG	Pre-Intermediate English B BG	KERR Joshua	KERR Joshua Earl		1	言語/Language	英語English
Semester	月/Mon.	1			D205	011103BH	英語準中級B BH	Pre-Intermediate English B BH	SILVA Matthew Shawn	SILVA Matthew Shawn		1	言語/Language	英語English
Semester	月/Mon.	1			D214	011103BI	英語準中級B BI	Pre-Intermediate English B BI	GEDARRO Randy Yoshio	GEDARRO Randy Yoshio		1	言語/Language	英語English
Semester	月/Mon.	1			D101	011103BJ	英語準中級B BJ	Pre-Intermediate English B BJ	廣松 大和	HIROMATSU Yamato		1	言語/Language	英語English
Semester	月/Mon.	1			D304	011103BK	英語準中級B BK	Pre-Intermediate English B BK	CROWLEY Kevin	CROWLEY Kevin		1	言語/Language	英語English
Semester	月/Mon.	1			D213	011103BL	英語準中級B BL	Pre-Intermediate English B BL	KRALIKAUSKAS Ellada	KRALIKAUSKAS Ellada		1	言語/Language	英語English
Semester	月/Mon.	1			D302	011202AB	英語上級2A AB	Advanced English 2A AB	ARMSTRONG Luke	ARMSTRONG Luke		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	1			F104	020031EA	経済学入門EA	Introduction to EconomicsEA	中神 正史	NAKAGAMI Masafumi	E	2	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	1			IPS 2	020091ED	コンピューターリテラシーED	Computer LiteracyED	KHAN Muhammad T.	KHAN Muhammad T.	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	1			IPS 4	027003ED	統計学ED	StatisticsED	RUIZ-NAVAS Santiago	RUIZ-NAVAS Santiago	E	2	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	1			和心庵	027029EA	茶道EA	Japanese Art of Tea CeremonyEA	宗泰 ポンパン	SOTAI Pongpan	E	3	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	1			FⅡ221	030571JA	会計学ⅠJA	Accounting IJA	佐藤 浩人	SATO Hiroto	J	3	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	1			FⅡ120	030675EA	アジア経済論EA	Asian EconomyEA	大塚 宏蔵	OTSUKA KOZO	E	5	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	1			F105	030716JB	金融市場と金融制度JB	Financial Market and InstitutionsJB	川添 敬	KAWAZOE Satoshi	J	5	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	1			H101	037135JA	観光・ホスピタリティと法JA	Tourism and Hospitality LawJA	劉 明	RYU Min	J	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester	月/Mon.	1			FⅡ220	037137EA	健康とウェルネスツーリズムEA	Health and Wellness TourismEA	MEIRMANOV Serik	MEIRMANOV Serik	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q	月/Mon.	1			F106	021012JA	アジア太平洋の地理JA	Geography of the Asia PacificJA	小山 拓志	KOYAMA Takushi	J	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	1			F201	021017EA	アジア太平洋の歴史EA	History of the Asia PacificEA	HAO Xiaoyang	HAO Xiaoyang	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
